#            ID              RA             Dec            z           Mstar             SFR            sSFR        deltaMS1        deltaMS2        deltaMS3        deltaMS4        deltaGas        cosmoAge     is_uplim     is_stack           w_obs          w_rest                     Source
#
            167    150.46370000      2.78590000         4.49        1.02e+11          338.84            1.85       0.0270387       0.0809161       -0.087532       -0.105659         2.38235         1.32935            0            0         1249.14          227.53                    331108
            168    150.40110000      2.67070000         4.14         1.1e+10          251.19            3.38        0.696823         0.72385        0.792163        0.794488         3.02727         1.46676            0            0         1249.14          243.02                    901851
            169    150.06920000      1.74770000         4.33         1.2e+10           288.4            3.65        0.714758        0.748412        0.790728        0.782019         5.93333          1.3894            0            0         1249.14          234.36                    302769
            170    150.15460000      1.75500000          4.3         3.6e+10          457.09             3.3        0.533146        0.572238        0.517284        0.510291         1.58889         1.40116            0            0         1249.14          235.69                    307139
            171    150.46570000      2.63610000         3.54           5e+10          794.33             5.1        0.719651        0.737331        0.715446        0.755507             5.8         1.76476            0            0         1249.14          275.14                    881017
            172    150.53520000      2.01150000         4.13        1.06e+11          537.03            2.95        0.238612        0.276909        0.144438        0.142436         1.68868         1.47103            0            0         1249.14           243.5                    468591
            173    150.42040000      2.11770000         3.96        2.48e+11          776.25            3.86        0.116774        0.152171       0.0378065      -0.0345114        0.681452         1.54687            0            0         1249.14          251.84                    536066
            174    150.24460000      2.15970000            4        3.16e+11          776.25            3.82       0.0291275       0.0672506      -0.0389556       -0.147421        0.553797         1.52845            0            0         1249.14          249.83                    564267
            175    149.48720000      2.03030000         4.18         1.4e+10          812.83             9.4         1.12024         1.14977         1.19238         1.19235         5.32143         1.44989            0            0         1249.14          241.15                    480666
            176    149.93040000      1.76870000         4.64         8.4e+10         1122.02            6.35        0.605819         0.66555        0.498802        0.472907         5.59524         1.27686            0            0         1249.14          221.48                    315797
