PDGID,EVTGENNAME
93,indep
94,CMshower
95,SPHEaxis
96,THRUaxis
97,CLUSjet
98,CELLjet
99,table
-1000010020,anti-deuteron
-1000010030,anti-tritium
-1000020040,anti-alpha
1103,dd_1
-1103,anti-dd_1
2101,ud_0
-2101,anti-ud_0
2103,ud_1
-2103,anti-ud_1
2203,uu_1
-2203,anti-uu_1
3101,sd_0
-3101,anti-sd_0
3103,sd_1
-3103,anti-sd_1
3201,su_0
-3201,anti-su_0
3203,su_1
-3203,anti-su_1
3303,ss_1
-3303,anti-ss_1
4101,cd_0
-4101,anti-cd_0
4103,cd_1
-4103,anti-cd_1
4201,cu_0
-4201,anti-cu_0
4203,cu_1
-4203,anti-cu_1
4301,cs_0
-4301,anti-cs_0
4303,cs_1
-4303,anti-cs_1
4403,cc_1
-4403,anti-cc_1
5101,bd_0
-5101,anti-bd_0
5103,bd_1
-5103,anti-bd_1
5201,bu_0
-5201,anti-bu_0
5203,bu_1
-5203,anti-bu_1
5301,bs_0
-5301,anti-bs_0
5303,bs_1
-5303,anti-bs_1
5401,bc_0
-5401,anti-bc_0
5403,bc_1
-5403,anti-bc_1
5503,bb_1
-5503,anti-bb_1
10022,vpho
30343,Xsd
-30343,anti-Xsd
30353,Xsu
-30353,anti-Xsu
30363,Xss
-30363,anti-Xss
1000020030,He3
-1000020030,anti-He3
